transaction_id,customer_id,amount,currency,status,payment_type,merchant,timestamp
293b146f-8d0f-474b-b17b-f05f53feb527,6327932a-23c7-423d-90d5-142937daf8ca,7411.24,USD,failed,IMPS,Uber,2026-03-05T09:47:16.399625
361bae1e-efb1-40c7-a53c-22511a13efbf,54a9e3e5-00b6-41f2-ae4b-a80ec252c8a3,94379.53,GBP,pending,IMPS,Zomato,2026-02-06T14:47:16.399634
755ea76e-0101-4990-94bf-2207951480e8,1a1be1d5-9273-43e2-8a17-c4a5d244a493,14725.58,USD,failed,WALLET,Amazon,2026-03-15T14:47:16.399639
f6c84bc4-2a54-4e28-b43e-d0c047d9a28f,390c13ba-57e9-442f-bf92-984f75f0861d,60162.63,EUR,completed,IMPS,Flipkart,2026-04-05T11:47:16.399644
6239c26a-315a-4b0c-adaf-9f7d1e6ec9cd,ec2d066b-7abb-47c5-b095-a0f9900d212f,62362.91,USD,completed,WALLET,Amazon,2026-03-25T18:47:16.399649
3ecd6c06-9895-4ecd-91f9-9b672cfae13c,75efc9f1-c8bc-48c0-833a-50a74508351d,14974.18,INR,pending,WALLET,Swiggy,2026-02-06T08:47:16.399654
88d07ce4-a082-4a67-a938-187b6bb31a79,5e52b5e2-2bfa-4a70-ad31-1efa7c0f1e38,75438.47,EUR,completed,IMPS,Zomato,2026-04-12T16:47:16.399659
d73ed6af-5441-42d7-a2b7-486aea0ef73e,f84a8f76-d388-426f-9a20-9123b70f7139,86641.39,SGD,completed,IMPS,Uber,2026-02-20T12:47:16.399665
826b36ee-c5b6-41a6-b0a9-881be7b4b077,ff0f3419-1bad-4582-94bb-65536da5e181,33108.46,INR,reversed,CARD,Flipkart,2026-03-20T20:47:16.399672
dfbac20e-3f35-4e1f-9b8f-e31574553b0f,dcd81242-0a81-4ad8-8ea2-0f4b08558436,16396.45,USD,reversed,CARD,Uber,2026-01-19T05:47:16.399678
69fbefc2-09cb-4fba-8d0d-4e3210d72001,308abe5a-2678-4080-823f-bd59ef83bcca,69720.82,USD,completed,UPI,Zomato,2026-03-16T17:47:16.399682
d1867401-40aa-4c2f-8234-277a5f3e2bd1,daa49e3b-bd0b-4ad2-9cae-724a91673407,86640.68,GBP,reversed,WALLET,Zomato,2026-02-27T13:47:16.399687
7e2189a8-0c96-4030-bd11-53dc78482017,7a9a4a55-ac1c-4fb2-ba99-a6794f00e7a6,90172.87,GBP,failed,UPI,Flipkart,2026-03-22T22:47:16.399692
20e6de94-a704-44ea-9398-a6d311431959,eef07cb6-65d6-4ee2-b9cb-a8e872fe625e,77858.6,GBP,pending,NEFT,Swiggy,2026-02-04T02:47:16.399697
e77bfa8f-b810-4d76-9fcf-390184cb07bd,ad55815e-85bd-457b-ae39-8ae62d4ced4c,49131.28,SGD,failed,UPI,Amazon,2026-03-22T14:47:16.399701
a880f31b-4079-4781-aba4-be3e56c87e38,5fc6757f-5ec2-49e8-9a8c-8e95f891c575,40430.47,EUR,reversed,WALLET,Amazon,2026-01-17T19:47:16.399705
d582d00d-ba46-4947-916b-2e62c75c5ea3,61a2b3fa-236e-435f-b4a3-7989fef658d5,64469.9,EUR,reversed,IMPS,Zomato,2026-03-11T08:47:16.399710
9704e7a6-1448-458b-b66f-59f4d24a8020,95d45ab8-a8ac-4c05-964e-7a25ffeddeb3,96919.14,INR,pending,CARD,Uber,2026-03-13T16:47:16.399714
0c647e75-4faa-4d36-9606-4c77c5319eb7,622af1fd-ba23-47ac-ab3b-ee5e80c8aaec,62831.75,INR,completed,IMPS,Netflix,2026-04-14T15:47:16.399718
f763da81-84a8-4895-b7db-9b0638c3431d,632e0cf0-8dfe-467f-bf87-475c4020528b,4166.57,SGD,reversed,WALLET,Swiggy,2026-04-08T15:47:16.399723
991123a7-2871-42a5-ae25-885a175937f4,ba7f9dc9-8741-414c-bfd9-823c899361b7,73631.83,INR,pending,UPI,Swiggy,2026-04-12T11:47:16.399727
747a71a0-e038-4bbc-8484-8186230cd782,30d16b37-51dd-403f-8210-b936f5c9333c,96841.48,INR,reversed,UPI,Uber,2026-03-08T22:47:16.399731
df31b68b-f98f-485a-b10b-7e311955436c,dbfa836f-4fad-4cef-bd13-44da59a71e9f,2473.94,EUR,failed,IMPS,Zomato,2026-02-14T17:47:16.399735
07c8b826-ce55-4682-bad1-255f80a5a103,acbf41ff-eb7a-4a24-aa7a-638a9e17c4c9,51084.61,GBP,failed,NEFT,Netflix,2026-04-02T13:47:16.399740
1cf7393e-ef90-457d-b829-e81c0949a240,3acb548d-7521-452a-aebb-3329b45e0a33,43288.25,SGD,reversed,WALLET,Zomato,2026-03-16T10:47:16.399744
38cb5432-f829-4fbc-84d2-fe08e74a7d72,0483ca8f-66c4-430f-ada0-9907d994653a,1427.71,SGD,pending,IMPS,Amazon,2026-02-24T05:47:16.399748
33867b47-836a-4bdb-b86d-0f111f0137c1,ccf39ddb-2bae-4f68-895c-841243cd6963,905.08,SGD,pending,WALLET,Uber,2026-03-31T23:47:16.399753
a84f5e4a-4b59-4f0e-af52-3f5ddd92681c,0ed04e9c-cde4-4733-b1a0-546dee3b81f2,79800.83,GBP,reversed,NEFT,Uber,2026-03-22T19:47:16.399757
e6500382-4745-4497-aee7-c9db79bb1499,eb765906-dd85-4d13-b3f2-5fd5abbc1398,95128.24,SGD,pending,CARD,Zomato,2026-03-16T19:47:16.399761
8db74349-d570-419d-9300-e037145a0f79,a1eefa5e-2b40-4442-9892-eef488587d1a,73028.15,SGD,failed,NEFT,Flipkart,2026-04-04T21:47:16.399766
9ca6eb4a-d871-443b-bccf-ebaca320e0a7,0483ca8f-66c4-430f-ada0-9907d994653a,2469.39,EUR,reversed,WALLET,Netflix,2026-02-18T04:47:16.399770
53302306-eeac-46bc-86a7-5a323a1535d7,a1131c47-d4cd-4232-891e-c18fe374da3f,68592.52,SGD,pending,NEFT,Amazon,2026-01-16T17:47:16.399774
ed2ef190-9d4c-4403-adca-92aef096fbd8,36c5828e-478f-4bba-a196-872282cc63a1,3695.75,USD,failed,CARD,Uber,2026-02-09T02:47:16.399779
bd5f8655-d1db-49f1-ae16-5dc48cd30d29,3c0f551d-3bbb-4908-9922-a691904c08cb,96963.52,GBP,failed,UPI,Swiggy,2026-03-07T00:47:16.399783
fd0cb068-d1ab-4106-8b19-4b91052eb669,7b9201f1-eb58-4626-bdb3-5c8f29761905,44930.33,SGD,reversed,WALLET,Flipkart,2026-02-08T17:47:16.399787
027dd88f-ee08-482d-869a-ba5131028d6f,c6261952-cf54-4a16-8c81-8677ebbf3edc,46062.38,INR,pending,CARD,Zomato,2026-02-28T16:47:16.399792
891983e5-c1de-4ee8-890b-5bfe9c15f0a4,300bbce3-39bc-49ae-9056-b465b2dbd72e,31828.11,SGD,pending,UPI,Netflix,2026-04-09T14:47:16.399796
bab189ee-3a29-4085-aacf-848fe7933c1f,476d4fa7-f237-4f30-9ccf-ae01ca3387fa,84737.73,USD,pending,CARD,Netflix,2026-02-01T17:47:16.399800
3fbbd688-374e-407b-b14e-8ef6dbb4ee56,c40f7e4b-2159-48d4-b166-cb7f32e3d3e5,17374.69,INR,completed,NEFT,Amazon,2026-04-13T19:47:16.399805
2bc906f5-0934-4b42-a611-e2ad68adc2a0,32583466-2aed-4bdb-8821-f8f1aa3e1a81,99877.89,EUR,failed,IMPS,Netflix,2026-02-01T05:47:16.399809
c2c5e63c-8eb9-49af-8390-60d1b81a0486,243d5468-6864-459b-82da-af93d38f50d9,81119.5,INR,pending,UPI,Netflix,2026-04-03T05:47:16.399814
57575630-a196-48a0-af5e-903397013fc8,ee6a2dfe-3136-4d5e-bccf-f589f56b6378,74206.54,GBP,failed,NEFT,Amazon,2026-01-22T11:47:16.399818
441e7722-1e18-4bf4-b5f6-07e2d4f67251,7fabc562-61a4-4d80-990f-e359d8b0c7c1,83078.04,GBP,reversed,NEFT,Amazon,2026-01-16T22:47:16.399822
1b7a8f81-4498-4678-8a35-4edfdd3e7d08,29f0579a-dfe9-430a-ba61-faafa9ebab6b,26613.17,EUR,reversed,IMPS,Amazon,2026-03-19T23:47:16.399826
da8a8658-0801-41a6-8dd2-1ae1ab66b8ec,88bdc00f-f73b-486f-8b4e-d272b7492fb6,10690.72,INR,reversed,NEFT,Zomato,2026-04-02T18:47:16.399831
65e2ee0b-92ee-4337-8da7-dbd73b9b08de,2ba4e683-bd07-450c-acea-85c807a849d5,95102.21,INR,failed,WALLET,Uber,2026-04-15T08:47:16.399835
4ae3b6ed-f0e3-4ee9-aabb-d9157f40ee8e,670b0806-334e-480c-a00f-3a2e9f0fd03d,29536.53,USD,reversed,NEFT,Amazon,2026-03-19T09:47:16.399840
2c9fdf08-aacf-458a-9a8c-df45401084bc,191154a3-1bd3-4b1a-b2a1-baa818a117e7,55146.64,USD,completed,WALLET,Swiggy,2026-03-16T03:47:16.399844
8da29b0e-7772-4b9d-8b5e-14c3825fb647,ecf74f15-395c-4696-bc62-c6a578664381,55252.24,SGD,completed,CARD,Swiggy,2026-04-01T23:47:16.399848
